"id","input_address","match","match_type","out_address","lat_lon","tiger_line_id","tiger_line_side","state_fips","county_fips","tract_fips","block_fips","lon","lat"
"201800001725092","18XX W NORTHERN AVE, Phoenix, Arizona, 85021","Match","Exact","18 W NORTHERN AVE, PHOENIX, AZ, 85021","-112.07493,33.55283","633219752","R","04","013","105300","1017","-112.07493","33.55283"
"201900001617713","36XX E MCDOWELL RD, Phoenix, Arizona, 85008","No_Match","","","","","","","","","",NA,NA
"201600000391968","26XX S 83RD AVE, Phoenix, Arizona, 85043","No_Match","","","","","","","","","",NA,NA
"202000001236203","52XX W WILLETTA ST, Phoenix, Arizona, 85043","No_Match","","","","","","","","","",NA,NA
"201800001743407","27XX W AGUA FRIA FWY, Phoenix, Arizona, 85027","No_Match","","","","","","","","","",NA,NA
"201800002124195","83XX N 19TH AVE, Phoenix, Arizona, 85021","No_Match","","","","","","","","","",NA,NA
"201900001196227","1XX W ROOSEVELT ST, Phoenix, Arizona, 85003","Match","Exact","1 W ROOSEVELT ST, PHOENIX, AZ, 85003","-112.07387,33.458664","128213402","L","04","013","113100","3000","-112.07387","33.458664"
"201600000004144","42XX W WILSHIRE DR, Phoenix, Arizona, 85009","No_Match","","","","","","","","","",NA,NA
"201700001783439","45XX N 53RD AVE, Phoenix, Arizona, 85031","No_Match","","","","","","","","","",NA,NA
"201900000596903","25XX W HAPPY VALLEY RD, Phoenix, Arizona, 85085","No_Match","","","","","","","","","",NA,NA
"202100000920674","N 19TH AVE & W HATCHER RD, Phoenix, Arizona, 85021","No_Match","","","","","","","","","",NA,NA
"202100000778257","14XX W BASELINE RD, Phoenix, Arizona, 85041","Match","Exact","14 W BASELINE RD, PHOENIX, AZ, 85041","-112.073845,33.37776","128217608","R","04","013","116500","2015","-112.073845","33.37776"
"201800001126419","29XX W GRAND AVE, Phoenix, Arizona, 85017","No_Match","","","","","","","","","",NA,NA
"202000001528711","27XX E THUNDERHILL PL, Phoenix, Arizona, 85048","No_Match","","","","","","","","","",NA,NA
"201800001730778","43XX N 27TH AVE, Phoenix, Arizona, 85017","No_Match","","","","","","","","","",NA,NA
"201780008229","15XX W CAMELBACK RD, Phoenix, Arizona, 85013","Match","Exact","15 W CAMELBACK RD, PHOENIX, AZ, 85013","-112.07397,33.509285","649105487","L","04","013","108802","1000","-112.07397","33.509285"
"201680004434","19XX W THUNDERBIRD RD, Phoenix, Arizona, 85023","No_Match","","","","","","","","","",NA,NA
"201600001208007","N 31ST AVE & W CAMELBACK RD, Phoenix, Arizona, 85017","No_Match","","","","","","","","","",NA,NA
"202100000233506","28XX N 43RD AVE, Phoenix, Arizona, 85035","No_Match","","","","","","","","","",NA,NA
"INC.NUMBER","X100.BLOCK.ADDR, City, State, ZIP","No_Match","","","","","","","","","",NA,NA
"201600000623087","16XX W BETHANY HOME RD, Phoenix, Arizona, 85015","No_Match","","","","","","","","","",NA,NA
